Tree,age,circumference,circumference
1,118,30,192
1,484,58,158
1,664,87,NA
1,1004,115,148
1,1231,120,166
1,1372,142,NA
1,1582,145,114
2,118,33,128
2,484,69,No Record
2,664,111,111
2,1004,156,156
2,1231,172,172
2,1372,203,203
2,1582,203,203
3,118,30,30
3,484,51,51
3,664,75,75
3,1004,108,108
3,1231,115,115
3,1372,139,139
3,1582,140,140
4,118,32,32
4,484,62,62
4,664,112,112
4,1004,167,167
4,1231,179,179
4,1372,209,209
4,1582,214,214
5,118,30,30
5,484,49,49
5,664,81,81
5,1004,125,125
5,1231,142,142
5,1372,174,174
5,1582,177,177
